File,DNE,Convex_DNE,Concave_DNE,Convex_Area,Concave_Area,RFI,3D_Area,2D_Area,Alpha,OPCR,0 deg.,5.625 deg.,11.25 deg.,16.875 deg.,22.5 deg.,28.125 deg.,33.75 deg.,39.375 deg.,Slope
A_nigroviridis-RMCA_5612_Mand_Rm2_ReOriented_IPCrop_Cleaned_IPFill_OBC_smoothed.ply,233.831755644127,177.616091805674,56.2156638384534,29.5092333246942,14.2659675021242,ERROR: 2D Area over-estimated due to alpha tracing error. Re-run RFI() on this surface and Check2D() on output.,43.7752008181706,20.9772602106551,0.09,66.5,70,70,66,66,67,67,60,66,59.9665221425617
C_guereza-USNM_163124_Mand_Rm2_Oriented_IPCrop_Cleaned_IPFill_DefectFixed_OBC_smoothed.ply,214.296731037382,170.019913979003,44.2768170583791,50.8382537405788,29.1775147418824,ERROR: 2D Area over-estimated due to alpha tracing error. Re-run RFI() on this surface and Check2D() on output.,80.0157684820006,42.6120835505892,0.09,78.62,73,74,75,81,88,84,75,79,55.2958107165209
C_polykomos-RMCA_817M112_Mand_Lm2_Oriented_IPCrop_Cleaned_IPFill_DefectFixed_OBC_Retriang.ply,176.028564429279,136.656051005648,39.3725134236302,54.6094770451132,20.8760189661044,ERROR: 2D Area over-estimated due to alpha tracing error. Re-run RFI() on this surface and Check2D() on output.,75.4854960388038,35.5193571830631,0.09,62.5,56,57,64,63,62,66,70,62,60.1794338427348
A_nigroviridis-RMCA_27318_Mand_Lm2_Oriented_IPCrop_Cleaned_IPFill_OBC_simplified_smoothed.ply,210.627500831799,145.954669569639,64.6728312621602,37.4916777676913,13.6927006496066,"Error in RFI(plyFile = Spec, alpha = BatchArgs$alpha, findAlpha = BatchArgs$findAlpha) : 
  alpha adjustment required
",80.12,87,80,79,80,75,77,82,81,58.2514011456473
