File,DNE,Convex_DNE,Concave_DNE,Convex_Area,Concave_Area,RFI,3D_Area,2D_Area,Alpha,OPCR,0 deg.,5.625 deg.,11.25 deg.,16.875 deg.,22.5 deg.,28.125 deg.,33.75 deg.,39.375 deg.,Slope
A_nigroviridis-RMCA_13765_Mand_Lm2_ReOriented_IPCrop_Cleaned_IPFill_OBC_Retriang.ply,196.655314201493,148.469366600779,48.1859476007136,37.3819894780016,15.5793867308258,0.357335894712363,52.9613762204535,25.9167922464621,0.09,63.25,65,62,62,64,67,63,60,63,59.13874616141
A_nigroviridis-RMCA_23494_Mand_Rm2_ReOriented_IPCrop_Cleaned_IPFill_OBC_Retriang.ply,212.243054066865,159.233556067934,53.0094979989304,47.098867679404,19.0791336475461,0.415369283500938,66.1780013614334,28.8355654001874,0.09,56.12,59,60,55,54,56,53,54,58,62.6757381126972
A_nigroviridis-RMCA_5612_Mand_Rm2_ReOriented_IPCrop_Cleaned_IPFill_OBC_Retriang.ply,207.293593807716,156.647462148731,50.6461316589848,30.9659024242419,14.2729864448181,0.375791365347057,45.2388888846617,21.3355428364982,0.09,64.38,64,63,67,62,61,67,65,66,60.4338538830526
A_nigroviridis-RMCA_8630_Mand_Lm2_ReOriented_IPCrop_Cleaned_IPFill_OBC_Retriang.ply,219.46161490341,166.187679484352,53.2739354190585,37.4979473254947,16.3860093380297,0.387278199201796,53.8839566863608,24.8355572301872,0.09,65.75,66,67,68,64,65,64,65,67,60.8973005940739
