File,DNE,Convex_DNE,Concave_DNE,Convex_Area,Concave_Area,RFI,3D_Area,2D_Area,Alpha,OPCR,0 deg.,5.625 deg.,11.25 deg.,16.875 deg.,22.5 deg.,28.125 deg.,33.75 deg.,39.375 deg.,Slope
C_guereza-USNM_163266_Mand_Rm2_Oriented_IPCrop_Cleaned_IPFill_OBC_Retriang.ply,187.00602943454,149.876141825672,37.1298876088684,52.7575113685786,24.5739733608574,ERROR: 2D Area over-estimated due to alpha tracing error. Re-run RFI() on this surface and Check2D() on output.,77.3314846968278,38.7809100261933,0.09,73.5,70,69,72,81,76,74,71,75,57.6138408148919
C_polykomos-RMCA_817M111_Mand_Lm2_Oriented_IPCrop_Cleaned_IPFill_OBC_Retriang.ply,175.961139070491,135.942505384458,40.0186336860336,53.4983266477183,20.6680932190222,ERROR: 2D Area over-estimated due to alpha tracing error. Re-run RFI() on this surface and Check2D() on output.,74.1664199382067,35.2210310270754,0.09,68.38,69,70,70,71,69,67,68,63,59.7384576934214
C_polykomos-RMCA_817M112_Mand_Lm2_Oriented_IPCrop_Cleaned_IPFill_DefectFixed_OBC_Retriang.ply,176.028564429279,136.656051005648,39.3725134236302,54.6094770451132,20.8760189661044,ERROR: 2D Area over-estimated due to alpha tracing error. Re-run RFI() on this surface and Check2D() on output.,75.4854960388038,35.5193571830631,0.09,62.5,56,57,64,63,62,66,70,62,60.1794338427348
A_nigroviridis-RMCA_27318_Mand_Lm2_Oriented_IPCrop_Cleaned_IPFill_OBC_simplified_smoothed.ply,210.627500831799,145.954669569639,64.6728312621602,37.4916777676913,13.6927006496066,"Error in RFI(plyFile = Spec, alpha = BatchArgs$alpha, findAlpha = BatchArgs$findAlpha) : 
  alpha adjustment required
",80.12,87,80,79,80,75,77,82,81,58.2514011456473
